"Size","Rooms","Fee","Elevator","Balcony","Patio","Price"
54.7,2,3252,1,0,0,2867000
45.5,2,3485,0,1,0,1318000
98.4,4,4843,1,0,0,858700
65.7,3,3405,1,0,0,2589300
125.5,5,5996,1,0,0,9152000
71.2,2,4371,0,1,0,1974400
54.8,2,2380,1,0,0,3427000
90.7,3,4505,1,1,0,1663500
80.7,3,4593,1,0,0,590600
77.3,2,3532,0,0,0,772100
45.9,2,3083,1,0,0,1653900
71,2,4586,0,1,0,2087200
79.2,2,6218,1,0,0,3921700
48.2,2,2651,1,1,0,4934800
43.4,2,2297,1,0,0,1289200
83.3,3,4611,0,1,0,1497700
69.5,2,3659,1,0,0,3258000
145.3,4,7761,0,0,0,12116700
56.9,3,2555,0,0,0,1844700
113.7,5,5875,1,1,0,7577100
75.9,3,6585,1,1,0,5648600
49.1,2,3780,0,0,0,3410400
102.6,4,4439,1,0,0,3646400
70.3,3,4382,0,1,0,3829500
42.7,2,2463,1,1,1,1612800
57,2,4531,1,1,0,5316700
96.6,3,5458,1,0,0,5540100
92.5,2,5469,0,1,1,3158400
69.6,2,3816,0,1,0,2205900
81.9,3,5680,0,0,0,2395500
48.3,1,3663,1,0,1,3475300
47.6,1,3614,1,1,1,1538200
61.1,2,3320,1,0,0,2792300
67.5,3,2857,1,1,0,3483600
72.4,2,3904,1,1,0,501100
44.3,1,1430,0,1,0,1924300
81.7,2,3575,1,1,0,1634800
73.6,3,5156,1,1,0,1950400
61,3,2415,1,1,0,3607600
87.1,3,4909,1,1,0,928600
62.9,3,4884,0,1,0,2729300
80.8,2,4336,1,1,0,6869200
96.1,4,4231,1,0,0,2272000
44.5,5,2617,1,1,0,2685900
81.1,3,4674,1,0,0,2230800
56.7,3,3510,0,1,0,3908600
67.1,3,4757,1,1,1,679400
37.2,2,2239,1,0,0,4108200
80.4,3,4572,0,1,0,4631900
69.5,2,3512,0,1,0,3105800
63.6,2,3282,1,1,0,2948700
75.5,2,3200,1,0,0,4149600
83.1,3,4329,1,1,0,3058000
79.1,3,2648,0,0,0,5762400
37.8,2,2861,1,0,0,3778900
36.4,2,2460,0,1,0,1240800
90.4,3,5750,1,1,0,2470200
100.8,3,6157,1,1,1,7907600
55.6,3,3707,0,0,1,4320600
84.9,3,4187,0,0,1,3496500
48.8,1,1306,0,0,1,892200
40,2,2814,0,1,0,1332900
52.1,3,3917,1,1,0,6265400
60.5,3,2960,0,1,0,2252100
102.1,4,5228,1,1,0,3518700
53.7,2,2763,1,1,0,1711800
108,6,5019,0,0,0,1497800
79.4,4,4980,1,1,0,3942700
45.6,2,2313,1,0,0,891600
92.3,3,5503,0,1,0,2343600
70,3,3003,0,1,0,3604600
71.6,3,4195,1,0,1,5594300
86.5,3,4059,1,0,0,3833700
58.7,2,3537,1,0,1,4564400
64.1,3,4211,0,0,0,4224800
115.1,4,4334,0,1,0,4104200
88.5,3,7170,1,0,0,6710200
70.4,3,2901,1,0,0,1595800
49,2,3393,1,1,0,4394700
33.2,2,2640,0,0,0,1666600
87.1,4,4980,0,0,0,8059200
46.9,2,2645,1,0,0,2445900
50.9,1,3497,0,1,0,3389500
129.9,4,6714,1,1,0,4691100
66.8,2,3924,0,0,0,3729500
61.4,2,3380,0,1,0,4658000
90.1,3,3230,1,0,0,2302800
64.9,2,3350,1,1,0,3257600
75.8,4,4542,0,1,0,1249500
73.2,3,3006,0,1,0,4170900
46.9,2,3348,0,1,0,1053000
130.8,3,7553,1,1,1,9101700
38.1,2,1940,0,0,0,2802600
88.6,5,6119,0,0,0,1785800
66.5,2,3813,0,1,0,1865500
35.2,5,2687,1,1,0,5968600
38,2,3094,1,0,0,2323100
67.2,2,3148,1,0,0,2159000
48.5,3,3635,1,0,1,1970600
44.1,3,3385,0,1,0,1372500
60.1,2,4152,0,0,0,3252000
31.6,1,2108,0,0,0,840100
29.5,5,-204,0,0,0,3283400
82.3,2,5165,0,1,0,4200900
70.9,2,3777,1,1,0,1871800
48.6,2,2767,1,0,0,1588500
94,3,3402,0,0,0,3902700
79.9,2,4193,0,1,0,1416100
38.2,1,2039,0,1,0,4493300
49.6,2,2359,0,1,0,2390600
67.9,2,3402,0,1,0,3070900
62.3,2,4408,0,1,0,4652400
56.1,3,3876,0,0,0,2010800
78.6,4,4682,1,1,0,5020500
73.9,2,3990,0,1,0,5056100
52.4,2,2307,1,0,0,2100000
84.2,3,3952,0,1,0,7218400
42.5,2,2021,0,0,0,2864800
90.3,3,5527,0,1,0,2952500
60.7,4,4097,0,1,1,1581100
86.8,4,4536,0,0,0,5882700
75.1,2,5364,1,1,0,3215500
85.1,4,3268,1,1,0,3628700
39.3,1,3713,0,1,0,761700
130,4,7068,1,0,0,10890700
73.2,5,3042,1,1,0,2457600
53,3,3826,0,0,0,1181500
105.3,3,5236,1,0,0,3968800
73.4,3,2115,1,1,0,382900
74.2,2,3385,0,0,0,2422500
48.2,2,4308,0,0,0,2222300
30.7,2,1509,1,0,0,810700
101.2,4,5882,1,1,0,7317300
69.7,5,4136,0,0,0,2442100
40.8,1,1937,1,1,1,2749600
71.8,2,4584,0,0,0,2275800
89.3,3,4672,1,1,0,4792500
44,5,1948,0,0,0,4195100
52,2,2942,0,1,0,2563000
53.5,3,2299,0,1,1,4806900
57.9,2,3470,1,0,0,1661100
62.1,2,5022,1,0,0,3695600
38,2,3187,0,0,1,2876400
71.2,3,4890,0,0,0,2116300
30.6,1,1475,1,0,0,1991300
124.1,5,7560,0,0,0,2293900
57.3,5,3282,0,0,0,2411400
68.1,3,3879,0,0,0,2186700
42.9,2,2636,1,0,0,1770500
32.6,5,1673,1,0,1,1088200
54.7,3,4218,0,0,0,2625500
113.7,4,5793,0,1,0,6588000
84.5,3,3994,1,1,0,4749800
32.2,1,2486,0,1,0,633500
81.4,7,5916,0,1,0,6247700
71.2,2,4551,0,1,0,1300800
41.3,2,3545,1,1,0,3436000
78.1,3,4907,1,0,0,3284000
54.1,2,2337,0,1,0,2464000
46.7,2,3356,0,1,0,2042800
48.4,2,3106,0,1,0,2105700
34.1,1,2455,1,0,0,1910800
48.6,5,2584,0,1,0,1094500
87.5,4,4872,1,0,1,3742200
49.1,3,2012,0,0,0,2374100
50,2,3138,0,0,0,3072700
67.3,3,3016,1,0,0,728800
93.8,3,4931,1,0,0,2540000
52,2,4336,1,0,0,3300600
93.7,3,4110,1,1,0,1387300
30.5,1,2622,0,0,0,2012900
132.1,6,5954,1,0,0,5359900
60.2,2,2902,0,1,0,2494900
76.7,2,4674,0,0,0,2026900
81.1,3,5047,1,1,1,2979100
57.3,2,3251,0,1,1,4369300
103.3,3,6814,0,1,0,615200
86.2,3,4988,1,1,0,1713000
40.5,2,2412,0,1,0,2738600
59.1,2,3629,1,0,0,5445800
89.7,5,4971,1,1,0,864300
78.7,5,3261,1,0,0,5538000
83.2,4,5174,1,1,0,1629100
54.7,2,3220,0,1,0,5454100
58.5,5,2845,1,1,0,5850100
79.4,3,2759,0,1,0,3931400
68.1,2,4883,0,0,0,3078600
75.7,3,3958,0,1,0,2076400
68.3,5,4485,0,0,0,2137700
89.9,4,5611,0,0,0,4992800
39.4,2,3547,0,0,0,1112700
60.7,2,4004,1,1,0,3716900
69.8,3,3682,0,0,0,6379500
41.1,2,2489,0,0,0,2600100
53.9,1,4380,0,1,0,819600
32.1,5,2220,0,0,0,1501400
93.2,3,3848,0,0,0,858200
43.9,2,1940,1,0,0,2199200
52.4,2,3420,1,0,0,2249500
46.7,2,3628,1,1,0,1960900
58.7,2,2463,0,1,0,3690200
76.2,2,4593,0,1,0,4842600
93.1,3,4419,0,0,0,5238300
78.9,3,5064,0,1,0,3408000
87.5,5,4377,0,0,0,2844800
119.1,4,5286,1,0,0,1170600
54.9,2,4593,1,1,0,1490600
111.9,5,5427,1,0,1,6848400
54.4,1,3340,0,1,0,2974000
49.3,2,3354,1,0,0,1966100
48.4,2,3835,0,0,0,3683400
35.4,2,2050,0,0,0,2663300
68.9,2,3193,1,1,0,1691200
73.7,3,3652,0,1,0,2078200
59.1,3,3418,1,0,0,6294600
82.8,5,4099,0,1,0,6298100
73.8,4,3421,0,1,0,2526300
74.2,2,4692,1,0,0,1939900
55.8,2,2520,0,1,1,3976400
40,1,2743,0,1,0,3515600
41.8,1,1556,0,1,1,8279900
53.5,2,2976,0,0,0,4212200
70.9,2,3759,0,1,0,1574100
54.3,2,2906,0,1,0,1593400
34.2,2,2738,0,0,0,3762400
40.8,1,2883,0,0,1,1098800
66.2,3,4541,0,0,0,5034400
49.3,2,3994,0,1,0,2414400
81.3,4,5294,0,1,0,799300
25.3,2,1296,0,0,0,2058200
87.1,3,4187,1,1,0,7955100
73.7,3,3678,0,1,0,1126700
78.7,3,5652,0,1,0,3126200
67.3,2,3551,0,1,0,1074500
45.4,2,4050,1,0,0,4035800
94.6,4,4992,0,0,0,482600
67.1,3,4780,1,1,1,1528300
35.4,2,3537,0,0,0,3524900
69.6,5,3933,1,0,1,2754700
140.9,5,6453,1,1,0,8503600
80.5,3,4398,0,0,0,2048100
57.6,3,3023,0,1,0,1079600
89.7,3,4828,0,0,0,1220000
48.7,2,2049,0,0,1,3005100
62.4,3,3126,0,1,0,1683100
55.3,3,2984,1,1,0,998500
26.4,1,1259,1,1,0,2597400
71.2,2,4229,1,1,0,3686200
97.7,3,4955,0,1,0,2930300
57,2,4964,0,1,0,3052700
89.7,3,5170,1,1,0,4811900
58,2,2712,0,1,0,2058900
85.4,4,3663,1,1,0,5319100
66.8,2,2867,1,1,0,1788000
101.5,3,4960,0,1,0,4353100
36.6,1,3841,0,0,0,2101900
64,3,3714,1,0,0,2761500
115.1,4,5384,0,0,0,5024100
41.1,2,2870,0,1,0,5547700
57.1,3,3439,1,0,0,2771900
54.4,5,3152,0,1,0,2819300
63.5,3,4338,0,1,0,2739100
70.9,3,2630,0,1,0,3825800
99.9,5,5061,0,0,0,6965300
52.7,2,5042,0,0,0,1659600
67.2,2,4641,0,1,0,1023300
126.1,6,5633,0,1,0,15228800
47.6,2,4235,0,1,0,2137200
44.2,2,2511,0,1,0,2014700
48.8,2,2673,1,1,0,1814200
74.7,2,4898,1,0,0,523500
78,2,5283,1,0,0,2974000
57.6,5,3434,1,1,0,1366500
91,3,4344,0,0,0,2968100
42.5,2,3381,1,1,0,2094200
55.2,5,1991,0,1,0,2527000
97.7,3,5164,1,1,0,8000300
68.9,3,4196,0,0,0,2016800
56.3,2,2911,1,1,0,2175100
52.9,2,2670,0,1,1,3947400
77.6,4,4167,1,0,1,1827000
89.6,5,4470,1,0,0,2142500
29.9,2,1331,0,0,0,2425700
55.6,2,3519,0,0,0,1398700
58.6,3,3842,1,1,0,2838600
61.8,2,3008,0,1,0,3127400
82.2,4,3612,0,1,0,2653600
53.8,5,4699,1,0,1,4653300
43.5,1,2982,0,1,0,3408700
43.8,1,2843,0,1,0,952000
47.3,2,3000,0,0,0,2756700
66.9,5,2655,0,0,1,1463300
83.5,3,4512,0,1,1,3818800
57.5,5,3244,1,0,0,2936200
42.3,1,2970,0,0,0,3069400
100.7,4,5119,1,0,0,6264100
52.6,2,2847,0,1,0,1019500
56.3,2,3819,0,0,0,3343600
53.6,2,4948,0,1,0,3222300
36.5,2,2515,0,1,0,1705300
75.5,3,4302,0,1,0,4008200
39.6,5,1492,0,1,0,2517300
65,3,4284,1,0,0,1032600
51.7,2,3747,0,0,1,1195800
74.8,3,3590,0,0,0,5043000
53.8,3,3813,0,1,0,4193000
54.6,2,3900,1,1,0,1634900
105.4,3,5418,0,0,0,4511200
67.7,3,3528,0,0,0,3204700
43.6,2,3492,0,0,0,2340000
69.4,2,4222,1,1,0,2611300
117.8,4,5011,0,1,0,3764400
29.3,1,1772,0,1,0,5227400
44.8,2,4554,1,0,0,2201500
62.7,3,3692,1,1,0,1592900
49.7,2,2381,1,0,0,4832200
99.8,3,4652,0,0,0,3362100
39.7,2,2192,0,1,0,3276200
94.1,3,6793,1,1,0,3852000
70.5,2,5285,1,0,0,2788700
90.7,3,6375,1,1,0,923800
89.8,3,5736,1,1,0,5040500
47.9,2,3632,0,1,0,2865000
66,2,2742,1,0,0,1333300
29.1,1,3085,1,0,0,632400
61.3,2,3538,0,1,0,1114300
88.3,5,4636,1,1,0,1472700
45.7,5,3106,0,0,0,2451400
67.6,2,2652,0,0,0,1502400
71.1,2,4117,0,0,0,7111200
73.1,3,4183,1,1,1,790400
113.7,4,5738,1,0,0,5444600
57.2,3,3895,0,0,0,3167800
63.8,3,2660,1,0,0,3635700
22.5,1,1751,0,0,0,1546300
54.9,5,4107,1,0,0,1794600
52.7,1,3306,1,1,0,4079900
83.2,2,3814,1,1,0,2947200
43.5,2,2320,0,0,0,1252800
44.2,2,3423,0,1,0,6038700
45.9,2,2449,0,0,0,941600
85.9,3,4609,1,0,1,2180600
80.3,3,4329,0,1,0,1495400
66.3,2,3795,1,1,0,2438200
54.9,1,2049,1,1,0,2541700
73.6,2,3129,0,1,0,4444000
48.8,2,2972,0,0,0,3699200
49.4,2,3020,0,0,0,2164900
79,5,5232,1,1,0,1303400
95.8,4,4743,0,1,0,6176900
47.7,2,2450,0,1,0,2954600
118.7,4,4428,0,1,0,4858700
64.4,2,3450,1,0,0,2872600
32.8,1,3107,0,0,0,3301100
132.5,6,6116,1,0,0,4685200
65.6,5,3628,0,0,0,1231800
75.4,3,4866,1,0,0,1155800
69.4,2,5219,0,0,1,3489000
56.1,5,4507,1,0,0,6870900
68.3,3,3874,1,1,0,1705400
89.9,3,4429,1,1,0,3759100
70.3,2,5071,0,1,0,1767100
20,1,1521,0,1,0,2628200
92.7,3,5681,1,1,0,1901400
72.7,2,3660,0,0,0,2351600
55.5,3,3933,1,1,1,2924800
81.4,3,4945,0,0,0,818200
119.3,4,5027,1,0,0,4008700
77.3,3,4842,0,0,0,267000
85.9,4,5193,0,0,0,4977000
113.5,4,7731,1,1,0,1279900
75.5,3,4445,0,1,0,9104800
85.9,3,3138,0,0,0,3470400
40.8,2,2343,1,0,1,855300
79,3,5134,0,1,0,4191600
54.6,3,3703,0,1,0,1527100
53.4,2,2290,0,1,0,2453100
111.6,5,4843,1,0,0,2788800
60.6,3,5024,0,1,0,3002100
41.5,2,2807,1,1,0,1711600
79,5,5422,1,1,0,1931200
81.5,3,4255,0,0,0,3124800
55.7,2,3269,1,1,0,2533600
40.9,5,1594,1,0,0,2150700
61.3,2,4082,0,1,0,2380700
85.6,3,4018,1,1,0,2661000
73.4,5,5457,1,1,1,4623000
100.7,4,5448,0,1,0,4358600
78.8,4,5762,1,0,0,2380100
91,3,5145,1,1,0,1858100
119.5,4,6901,0,1,0,1228500
60.5,2,4245,0,1,0,2557300
54.9,2,2775,1,0,0,2706300
97.8,4,6474,0,1,0,1389600
48.3,2,2052,1,0,0,4008600
68.5,3,3926,0,0,0,2812400
59.1,3,4023,0,0,0,2420800
71.1,2,3079,1,0,1,3449800
66.4,2,2955,0,1,0,3357000
64.6,2,4005,0,1,1,4361200
43.2,1,2587,1,0,1,2243700
74,3,5627,1,1,0,3968000
68.9,3,3738,1,0,0,5642100
22.5,1,1483,0,0,0,2312600
108.5,4,5324,0,0,0,5467200
63.5,2,4339,0,1,0,1027700
61.4,2,3243,0,1,0,5032600
70.2,3,5075,0,1,0,4244600
63.8,3,4172,1,0,0,5753700
85.3,3,5244,1,1,0,3555500
60,3,3804,0,1,0,5127500
53.2,2,4476,1,1,0,3412100
61.9,2,3866,1,0,0,1263700
82.8,2,3893,1,1,1,2198300
48.4,2,2745,1,1,0,6125900
39.1,2,2313,0,0,0,2209100
55.8,3,3354,1,0,0,3068300
105.8,3,6454,0,0,0,10620200
49.3,2,2220,1,1,0,3562400
47.1,2,2591,1,1,0,2478900
52.3,2,3404,0,0,0,2818000
86.8,3,5345,0,1,1,6823400
31.3,2,2822,0,1,0,1662800
67,3,4056,0,1,0,2547700
30.6,5,1141,0,0,0,2165100
57,2,2530,0,1,0,4762400
35.3,2,2176,0,1,0,2917000
76.6,3,6085,0,0,0,2301500
47,3,3890,0,1,0,2092500
82.7,5,4961,1,0,1,7254300
94.7,4,4205,1,1,0,2388900
96.7,4,4558,1,1,0,185300
80.8,5,4611,0,1,0,2178200
54.3,3,3374,0,1,0,2849900
106,4,5972,0,1,0,1424400
53.5,2,3248,0,0,0,1324800
57.7,3,3417,1,1,0,3161000
77.2,2,5846,1,0,0,7503800
32.3,5,2834,0,1,0,4040800
55.8,5,3193,0,1,1,2435800
62.1,5,3272,0,1,0,1048200
53.6,3,3972,1,0,0,2898700
106.3,5,4808,1,1,0,3878400
84.1,2,5917,1,0,0,4469000
105.7,4,5111,1,0,0,4469300
65.7,3,3562,0,1,0,6926500
93.2,3,4279,0,0,0,1524800
42.5,2,4356,0,0,0,1177500
51.7,2,4433,1,1,0,2272800
56.6,2,3416,1,0,0,1447000
69.8,3,3848,0,0,0,2176800
89.6,3,5346,0,1,0,7983900
47.3,2,3621,0,0,0,3228100
17.6,1,1552,0,0,0,1051300
33.4,2,2267,1,0,0,1289500
37,2,2361,1,0,0,2243500
140.7,6,6095,0,1,0,12951000
95.6,4,4910,1,1,0,2820900
102.8,3,5543,1,1,0,4584300
68.1,3,3577,0,1,0,2162200
72.3,2,3401,0,1,0,4676900
35.3,1,2040,1,0,0,3183400
60.5,2,4314,0,0,0,1429200
55.1,3,3372,0,0,1,1294900
91,3,4863,1,1,0,6274800
49.4,2,3450,0,0,0,2296400
118.1,5,6374,1,1,0,8552500
64,3,2166,1,1,0,1590200
37.8,5,1799,1,0,0,2318200
22.7,1,3109,0,0,0,1300900
89.1,3,5065,0,0,0,6317000
92.8,3,5421,0,1,1,6940200
89,3,4245,1,1,1,491400
45.4,2,2545,1,1,0,1127700
42.6,2,1619,1,0,0,2494200
92.3,3,5066,1,1,1,6579000
64.1,2,3238,1,0,0,2676200
115.6,5,7141,0,1,1,8020300
37,1,2267,0,0,0,1128300
41.5,2,3004,0,1,0,4753700
99,3,5503,1,1,0,4373700
98.1,4,5332,0,1,1,2244800
65.4,3,2979,0,0,0,2853600
70.4,2,4084,0,1,0,770200
50.7,3,2245,1,1,0,995300
91.6,4,5437,0,1,0,3894100
119.4,4,5924,0,1,1,14486400
73.7,3,4119,0,0,0,2216900
77.3,2,5339,0,0,0,4317800
35.1,1,2581,1,0,0,1562800
103.4,3,4256,0,0,0,3754100
